GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Rooftop_PV-0,2012,0.0,0.0,.
Rooftop_PV-2020,2020,6000000.0,45000.0,.
Rooftop_PV-2020,2025,4000000.0,45000.0,.
Rooftop_PV-2020,2030,3000000.0,45000.0,.
Rooftop_PV-2020,2035,2000000.0,45000.0,.
Rooftop_PV-2020_PPA,2020,0.0,0.0,.
Rooftop_PV-2020_PPA,2025,0.0,0.0,.
Rooftop_PV-2020_PPA,2030,0.0,0.0,.
Rooftop_PV-2020_PPA,2035,0.0,0.0,.
Battery_Storage,2020,0.0,10000.0,526000.0
Battery_Storage,2025,0.0,10000.0,401000.0
Battery_Storage,2030,0.0,10000.0,335000.0
Battery_Storage,2035,0.0,10000.0,294000.0
Cogen_Power_Plant,2020,2231648.5,214223.65,.
Cogen_Power_Plant,2025,2017233.49,193641.21,.
Cogen_Power_Plant,2030,1823419.3,175036.32,.
Cogen_Power_Plant,2035,1648226.63,158218.97,.
